weight_T,weight_B,weight_U,weight_H,weight_C,weight_D,weight_F,weight_R,baseline_score,copt_score,copt_minus_baseline
0.2804536588817671,0.21875832267762016,0.1646655155568023,0.08598150335042956,0.07630535477234354,0.07756768847849912,0.061095556768205335,0.03517239951433302,0.3378940384245358,0.46008274183307907,0.12218870340854326
0.2142900139186303,0.21385962930168573,0.17732271418537013,0.11277504984767958,0.09732232144061417,0.06491305935557427,0.07347791576978879,0.04603929618065708,0.274961370347797,0.39121973324396153,0.11625836289616454
0.2279282829108448,0.2699859205135039,0.16131820851192546,0.08928924621459133,0.06247910585769385,0.08092114316485961,0.06664901719142556,0.04142907563515533,0.3040847931639453,0.45379126965023914,0.14970647648629382
0.23296366613928932,0.24519171118010538,0.14596824527365637,0.11904391234051905,0.08996481584285802,0.07066274458887298,0.05166704360401736,0.044537861030681546,0.3059891917823575,0.4440309164249214,0.13804172464256387
0.23992344068331847,0.26948867582529784,0.1374698621741657,0.10983534060773703,0.08352514292772757,0.06486979575975417,0.05657706510971608,0.03831067691228328,0.3175090552935725,0.468117845964941,0.1506087906713685
0.26543574488948646,0.23797295555029357,0.12541415200182504,0.10997173935061305,0.08588881175760482,0.08118275577207597,0.05013084473471628,0.04400299594338481,0.31943815351802285,0.4545360644540749,0.13509791093605206
0.25753811343161337,0.2649839680815958,0.12371854264120186,0.09883295985131309,0.0828068314442602,0.07689253973922251,0.05530929907303233,0.03991774573776076,0.31492624034370775,0.4640517636681795,0.14912552332447176
0.2908973876208533,0.2107195247062303,0.16561427898120396,0.09457633362559227,0.08050628932749625,0.07284927924279895,0.051608678849459445,0.03322822764636549,0.35672022692604566,0.47584285463100956,0.1191226277049639
0.20968125467031526,0.2611325380545343,0.16436173586905342,0.1160069898604746,0.07548278173434168,0.07676142863044536,0.05414172589556803,0.04243154528526728,0.30085044557272494,0.44736773735773905,0.1465172917850141
0.2660271215854778,0.2630374446809923,0.1442643082310802,0.09959321209025691,0.06809219154983719,0.06050800901808953,0.06287883692100309,0.035598875923263114,0.34864942473237825,0.49440862990365814,0.14575920517127988
